"CubeId";"bopovera"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"Value"
"2000";"S0";"49492.47436702"
"2000";"E0";"357337.67147183"
"2000";"A0";"307845.69710462"
"2000";"S8";"-5957.78503203"
"2000";"E8";"826.4"
"2000";"A8";"6784.18503203"
"2000";"S9";"77833.63841099"
"2000";"NA0";"297053.53890307"
"2000";"NP0";"219219.90049207"
"2000";"S14";
"2000";"SD";"34298.949076"
"2001";"S0";"32083.22282851"
"2001";"E0";"346870.51151724"
"2001";"A0";"314787.68868891"
"2001";"S8";"542.94375552"
"2001";"E8";"3902.8"
"2001";"A8";"3359.85624448"
"2001";"S9";"70078.44458917"
"2001";"NA0";"78783.51536685"
"2001";"NP0";"8705.07077768"
"2001";"S14";
"2001";"SD";"37452.27800514"
"2002";"S0";"32471.98261575"
"2002";"E0";"316141.21945208"
"2002";"A0";"283669.73683633"
"2002";"S8";"-3811.63394159"
"2002";"E8";"425.6"
"2002";"A8";"4236.83394159"
"2002";"S9";"56240.44485792"
"2002";"NA0";"141971.57729703"
"2002";"NP0";"85731.13243911"
"2002";"S14";
"2002";"SD";"27580.09618376"
"2003";"S0";"52450.20452957"
"2003";"E0";"336645.03040608"
"2003";"A0";"284195.12587632"
"2003";"S8";"-2919.58672598"
"2003";"E8";"662.4"
"2003";"A8";"3581.98672598"
"2003";"S9";"41218.25004504"
"2003";"NA0";"81074.63016514"
"2003";"NP0";"39856.3801201"
"2003";"S14";
"2003";"SD";"-8312.36775855"
"2004";"S0";"62816.49089723"
"2004";"E0";"367199.07319245"
"2004";"A0";"304382.48229532"
"2004";"S8";"-3941.50563157"
"2004";"E8";"504.8"
"2004";"A8";"4446.30563157"
"2004";"S9";"90515.53766664"
"2004";"NA0";"135908.8780837"
"2004";"NP0";"45393.34041705"
"2004";"S14";
"2004";"SD";"31640.55240098"
"2005";"S0";"58871.34242284"
"2005";"E0";"429238.73614882"
"2005";"A0";"370367.89372464"
"2005";"S8";"-2845.17874951"
"2005";"E8";"584.4"
"2005";"A8";"3429.57874951"
"2005";"S9";"95558.099353"
"2005";"NA0";"203907.18227038"
"2005";"NP0";"108349.08291738"
"2005";"S14";"3098.2"
"2005";"SD";"42630.13567967"
"2006";"S0";"69089.89391954"
"2006";"E0";"474582.44721096"
"2006";"A0";"405493.05329122"
"2006";"S8";"-5443.58399859"
"2006";"E8";"334.8"
"2006";"A8";"5777.98399859"
"2006";"S9";"87876.63803269"
"2006";"NA0";"235092.1318093"
"2006";"NP0";"147215.49377661"
"2006";"S14";"951.7"
"2006";"SD";"25182.02811174"
"2007";"S0";"49387.98658253"
"2007";"E0";"538934.67101281"
"2007";"A0";"489546.88443038"
"2007";"S8";"-5036.06400464"
"2007";"E8";"485.6"
"2007";"A8";"5521.26400464"
"2007";"S9";"48027.25205226"
"2007";"NA0";"460190.99613522"
"2007";"NP0";"412163.74408295"
"2007";"S14";"1125.1"
"2007";"SD";"4800.42947438"
"2008";"S0";"7564.91760487"
"2008";"E0";"515298.96614454"
"2008";"A0";"507733.74854066"
"2008";"S8";"-3785.69522492"
"2008";"E8";"1095.6"
"2008";"A8";"4881.29522492"
"2008";"S9";"17764.93866252"
"2008";"NA0";"-233354.6514726"
"2008";"NP0";"-251119.59013513"
"2008";"S14";"-4033.2"
"2008";"SD";"9952.51628258"
"2009";"S0";"34039.80001606"
"2009";"E0";"480679.66048233"
"2009";"A0";"446639.46046558"
"2009";"S8";"-3764.61806458"
"2009";"E8";"144"
"2009";"A8";"3908.61806458"
"2009";"S9";"2880.08493917"
"2009";"NA0";"8442.86181685"
"2009";"NP0";"5562.77687768"
"2009";"S14";"1687.6"
"2009";"SD";"-25707.49701231"
"2010";"S0";"81028.62417614"
"2010";"E0";"559010.38907801"
"2010";"A0";"477981.26490188"
"2010";"S8";"-4613.98075372"
"2010";"E8";"358.8"
"2010";"A8";"4972.38075372"
"2010";"S9";"107177.97420112"
"2010";"NA0";"166290.2872394"
"2010";"NP0";"59112.31303828"
"2010";"S14";"257.4"
"2010";"SD";"31020.73077871"
"2011";"S0";"39610.91898559"
"2011";"E0";"544175.52400424"
"2011";"A0";"504564.50511075"
"2011";"S8";"-8378.40601311"
"2011";"E8";"483.2"
"2011";"A8";"8861.20601311"
"2011";"S9";"27922.94973049"
"2011";"NA0";"86910.03568875"
"2011";"NP0";"58987.08595826"
"2011";"S14";"-491.3"
"2011";"SD";"-3800.86324198"
"2012";"S0";"57150.37094768"
"2012";"E0";"580345.15829648"
"2012";"A0";"523194.7873488"
"2012";"S8";"-2170.37124302"
"2012";"E8";"344.76243286"
"2012";"A8";"2515.13367588"
"2012";"S9";"69379.77670776"
"2012";"NA0";"201645.94684854"
"2012";"NP0";"132266.17014078"
"2012";"S14";"-1484.7"
"2012";"SD";"12915.0770031"
"2013";"S0";"63098.05934836"
"2013";"E0";"612444.58252444"
"2013";"A0";"549346.52317608"
"2013";"S8";"710.86309349"
"2013";"E8";"1693.07750427"
"2013";"A8";"982.21441078"
"2013";"S9";"104721.5240875"
"2013";"NA0";"117158.12744916"
"2013";"NP0";"12436.60336166"
"2013";"S14";"-778.9"
"2013";"SD";"40133.70164566"
"2014";"S0";"46187.72186708"
"2014";"E0";"606180.09278669"
"2014";"A0";"559992.37091961"
"2014";"S8";"-52560.43376206"
"2014";"E8";"717.04340784"
"2014";"A8";"53277.4771699"
"2014";"S9";"1806.7404255"
"2014";"NA0";"25822.06496921"
"2014";"NP0";"24015.3245437"
"2014";"S14";"87.40882822"
"2014";"SD";"8266.86114871"
"2015";"S0";"59270.25092062"
"2015";"E0";"597066.48836196"
