"CubeId";"auvekoma"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"2000";"A";"T0";"2220990.68971786"
"2000";"A";"T1";"415767.898"
"2000";"A";"T2";"822028.13455637"
"2000";"A";"D";
"2000";"A";"T4";"895339.06344323"
"2000";"A";"T7";"87855.59371826"
"2001";"A";"T0";"2219367.14381925"
"2001";"A";"T1";"459938.46759227"
"2001";"A";"T2";"815964.05701413"
"2001";"A";"D";
"2001";"A";"T4";"856433.58644198"
"2001";"A";"T7";"87031.03277087"
"2002";"A";"T0";"2115429.03642835"
"2002";"A";"T1";"446427.924"
"2002";"A";"T2";"724385.48524456"
"2002";"A";"D";
"2002";"A";"T4";"859266.47001353"
"2002";"A";"T7";"85349.15717026"
"2003";"A";"T0";"2204493.17848557"
"2003";"A";"T1";"477495.5664289"
"2003";"A";"T2";"816256.60272163"
"2003";"A";"D";
"2003";"A";"T4";"824693.53120606"
"2003";"A";"T7";"86047.47812898"
"2004";"A";"T0";"2315958.63132144"
"2004";"A";"T1";"519370.268"
"2004";"A";"T2";"860284.08910805"
"2004";"A";"D";"31498"
"2004";"A";"T4";"820343.79644545"
"2004";"A";"T7";"84462.47776794"
"2005";"A";"T0";"2799700.91772642"
"2005";"A";"T1";"647804.218"
"2005";"A";"T2";"1006168.4981754"
"2005";"A";"D";"32066.3"
"2005";"A";"T4";"1037833.47063717"
"2005";"A";"T7";"75828.43091385"
"2006";"A";"T0";"3125465.10043043"
"2006";"A";"T1";"804647.367"
"2006";"A";"T2";"1139669.7578495"
"2006";"A";"D";"46244"
"2006";"A";"T4";"1056236.02379121"
"2006";"A";"T7";"78667.95178972"
"2007";"A";"T0";"3746579.8693815"
"2007";"A";"T1";"927605.821"
"2007";"A";"T2";"1271370.17500858"
"2007";"A";"D";"58312.2"
"2007";"A";"T4";"1404262.68466045"
"2007";"A";"T7";"85028.98871247"
"2008";"A";"T0";"3219024.75990676"
"2008";"A";"T1";"948851.25"
"2008";"A";"T2";"1012917.86525899"
"2008";"A";"D";"160018.57615124"
