"CubeId";"auvekomq"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"2000-Q4";"A";"T0";"2220990.68971786"
"2000-Q4";"A";"T1";"415767.898"
"2000-Q4";"A";"T2";"822028.13455637"
"2000-Q4";"A";"D";
"2000-Q4";"A";"T4";"895339.06344323"
"2000-Q4";"A";"T7";"87855.59371826"
"2000-Q4";"P";"T0";"1716248.19647171"
"2000-Q4";"P";"T1";"202094.71657171"
"2000-Q4";"P";"T2";"671354.961"
"2000-Q4";"P";"D";
"2000-Q4";"P";"T4";"842798.5189"
"2000-Q4";"N";"T0";"504742.49324615"
"2000-Q4";"N";"T1";"213673.18142829"
"2000-Q4";"N";"T2";"150673.17355637"
"2000-Q4";"N";"D";
"2000-Q4";"N";"T4";"52540.54454323"
"2000-Q4";"N";"T7";"87855.59371826"
"2001-Q1";"A";"T0";"2291503.89481805"
"2001-Q1";"A";"T1";"425765.02701572"
"2001-Q1";"A";"T2";"844357.61576467"
"2001-Q1";"A";"D";
"2001-Q1";"A";"T4";"935104.57568528"
"2001-Q1";"A";"T7";"86276.67635238"
"2001-Q1";"P";"T0";"1740433.41923611"
"2001-Q1";"P";"T1";"201284.42121511"
"2001-Q1";"P";"T2";"613131.296"
"2001-Q1";"P";"D";
"2001-Q1";"P";"T4";"926017.702021"
"2001-Q1";"N";"T0";"551070.47558195"
"2001-Q1";"N";"T1";"224480.60580061"
"2001-Q1";"N";"T2";"231226.31976467"
"2001-Q1";"N";"D";
"2001-Q1";"N";"T4";"9086.87366428"
"2001-Q1";"N";"T7";"86276.67635238"
"2001-Q2";"A";"T0";"2341252.53712308"
"2001-Q2";"A";"T1";"439117.74204129"
"2001-Q2";"A";"T2";"881459.1239198"
"2001-Q2";"A";"D";
"2001-Q2";"A";"T4";"930304.12883169"
"2001-Q2";"A";"T7";"90371.5423303"
"2001-Q2";"P";"T0";"1744038.2499085"
"2001-Q2";"P";"T1";"207296.3258585"
"2001-Q2";"P";"T2";"622921.076"
"2001-Q2";"P";"D";
"2001-Q2";"P";"T4";"913820.84805"
"2001-Q2";"N";"T0";"597214.28721458"
"2001-Q2";"N";"T1";"231821.41618279"
"2001-Q2";"N";"T2";"258538.0479198"
"2001-Q2";"N";"D";
"2001-Q2";"N";"T4";"16483.28078169"
"2001-Q2";"N";"T7";"90371.5423303"
"2001-Q3";"A";"T0";"2102285.93233729"
"2001-Q3";"A";"T1";"434545.592731"
"2001-Q3";"A";"T2";"778387.79968232"
"2001-Q3";"A";"D";
"2001-Q3";"A";"T4";"802428.63930181"
"2001-Q3";"A";"T7";"86923.90062217"
"2001-Q3";"P";"T0";"1532650.3390449"
"2001-Q3";"P";"T1";"210422.1305019"
"2001-Q3";"P";"T2";"526135.088"
"2001-Q3";"P";"D";
"2001-Q3";"P";"T4";"796093.120543"
"2001-Q3";"N";"T0";"569635.5932924"
"2001-Q3";"N";"T1";"224123.4622291"
"2001-Q3";"N";"T2";"252252.71168232"
"2001-Q3";"N";"D";
"2001-Q3";"N";"T4";"6335.51875881"
"2001-Q3";"N";"T7";"86923.90062217"
"2001-Q4";"A";"T0";"2219367.14381925"
"2001-Q4";"A";"T1";"459938.46759227"
"2001-Q4";"A";"T2";"815964.05701413"
"2001-Q4";"A";"D";
"2001-Q4";"A";"T4";"856433.58644198"
"2001-Q4";"A";"T7";"87031.03277087"
"2001-Q4";"P";"T0";"1632551.22422929"
"2001-Q4";"P";"T1";"210854.53514529"
"2001-Q4";"P";"T2";"586561.873"
"2001-Q4";"P";"D";
"2001-Q4";"P";"T4";"835134.816084"
"2001-Q4";"N";"T0";"586815.91958996"
"2001-Q4";"N";"T1";"249083.93244698"
"2001-Q4";"N";"T2";"229402.18401413"
"2001-Q4";"N";"D";
"2001-Q4";"N";"T4";"21298.77035798"
"2001-Q4";"N";"T7";"87031.03277087"
"2002-Q1";"A";"T0";"2280076.90861968"
"2002-Q1";"A";"T1";"458485.84053588"
"2002-Q1";"A";"T2";"833494.41077475"
"2002-Q1";"A";"D";
"2002-Q1";"A";"T4";"898904.53282163"
"2002-Q1";"A";"T7";"89192.12448742"
"2002-Q1";"P";"T0";"1700352.10610217"
"2002-Q1";"P";"T1";"217855.66460217"
"2002-Q1";"P";"T2";"602486.514"
"2002-Q1";"P";"D";
"2002-Q1";"P";"T4";"880009.9275"
"2002-Q1";"N";"T0";"579724.80251752"
"2002-Q1";"N";"T1";"240630.17593372"
"2002-Q1";"N";"T2";"231007.89677475"
"2002-Q1";"N";"D";
"2002-Q1";"N";"T4";"18894.60532163"
"2002-Q1";"N";"T7";"89192.12448742"
"2002-Q2";"A";"T0";"2155451.22167626"
"2002-Q2";"A";"T1";"440950.34275632"
"2002-Q2";"A";"T2";"764487.58912419"
"2002-Q2";"A";"D";
"2002-Q2";"A";"T4";"865984.67416164"
"2002-Q2";"A";"T7";"84028.61563411"
"2002-Q2";"P";"T0";"1619365.42835904"
"2002-Q2";"P";"T1";"220357.49405904"
"2002-Q2";"P";"T2";"574925.326"
"2002-Q2";"P";"D";
"2002-Q2";"P";"T4";"824082.6083"
"2002-Q2";"N";"T0";"536085.79331722"
"2002-Q2";"N";"T1";"220592.84869728"
"2002-Q2";"N";"T2";"189562.26312419"
"2002-Q2";"N";"D";
"2002-Q2";"N";"T4";"41902.06586164"
"2002-Q2";"N";"T7";"84028.61563411"
"2002-Q3";"A";"T0";"2084873.95991121"
"2002-Q3";"A";"T1";"443365.3109374"
"2002-Q3";"A";"T2";"717391.13471401"
"2002-Q3";"A";"D";
"2002-Q3";"A";"T4";"837115.64896193"
"2002-Q3";"A";"T7";"87001.86529787"
"2002-Q3";"P";"T0";"1512759.31441591"
"2002-Q3";"P";"T1";"230157.22351591"
"2002-Q3";"P";"T2";"489301.979"
"2002-Q3";"P";"D";
"2002-Q3";"P";"T4";"793300.1119"
"2002-Q3";"N";"T0";"572114.6454953"
"2002-Q3";"N";"T1";"213208.08742149"
"2002-Q3";"N";"T2";"228089.15571401"
"2002-Q3";"N";"D";
"2002-Q3";"N";"T4";"43815.53706193"
"2002-Q3";"N";"T7";"87001.86529787"
"2002-Q4";"A";"T0";"2115429.03642835"
"2002-Q4";"A";"T1";"446427.924"
"2002-Q4";"A";"T2";"724385.48524456"
"2002-Q4";"A";"D";
"2002-Q4";"A";"T4";"859266.47001353"
"2002-Q4";"A";"T7";"85349.15717026"
"2002-Q4";"P";"T0";"1542904.27267278"
"2002-Q4";"P";"T1";"240280.65297278"
"2002-Q4";"P";"T2";"485659.72"
"2002-Q4";"P";"D";
"2002-Q4";"P";"T4";"816963.8997"
"2002-Q4";"N";"T0";"572524.76375557"
"2002-Q4";"N";"T1";"206147.27102722"
"2002-Q4";"N";"T2";"238725.76524456"
"2002-Q4";"N";"D";
"2002-Q4";"N";"T4";"42302.57031353"
"2002-Q4";"N";"T7";"85349.15717026"
"2003-Q1";"A";"T0";"2115903.36748848"
"2003-Q1";"A";"T1";"455067.15801562"
"2003-Q1";"A";"T2";"722258.88356699"
"2003-Q1";"A";"D";
"2003-Q1";"A";"T4";"854976.19104922"
"2003-Q1";"A";"T7";"83601.13485665"
"2003-Q1";"P";"T0";"1483303.32680451"
"2003-Q1";"P";"T1";"242709.74690201"
"2003-Q1";"P";"T2";"426690.212"
"2003-Q1";"P";"D";
"2003-Q1";"P";"T4";"813903.3679025"
"2003-Q1";"N";"T0";"632600.04068397"
"2003-Q1";"N";"T1";"212357.41111361"
"2003-Q1";"N";"T2";"295568.67156699"
"2003-Q1";"N";"D";
"2003-Q1";"N";"T4";"41072.82314672"
"2003-Q1";"N";"T7";"83601.13485665"
"2003-Q2";"A";"T0";"2219836.22897081"
"2003-Q2";"A";"T1";"466042.25416705"
"2003-Q2";"A";"T2";"782142.87643004"
"2003-Q2";"A";"D";
"2003-Q2";"A";"T4";"885512.67960838"
"2003-Q2";"A";"T7";"86138.41876533"
"2003-Q2";"P";"T0";"1578961.40383624"
"2003-Q2";"P";"T1";"250819.44083124"
"2003-Q2";"P";"T2";"486498.091"
"2003-Q2";"P";"D";
"2003-Q2";"P";"T4";"841643.872005"
"2003-Q2";"N";"T0";"640874.82513456"
"2003-Q2";"N";"T1";"215222.81333581"
"2003-Q2";"N";"T2";"295644.78543004"
"2003-Q2";"N";"D";
"2003-Q2";"N";"T4";"43868.80760338"
"2003-Q2";"N";"T7";"86138.41876533"
"2003-Q3";"A";"T0";"2197647.45786824"
"2003-Q3";"A";"T1";"468775.41812282"
"2003-Q3";"A";"T2";"785620.99400834"
"2003-Q3";"A";"D";
"2003-Q3";"A";"T4";"856344.07931865"
"2003-Q3";"A";"T7";"86906.96641844"
"2003-Q3";"P";"T0";"1595932.13914632"
"2003-Q3";"P";"T1";"261667.63476048"
"2003-Q3";"P";"T2";"518518.282"
