"CubeId";"auvezebq"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"D2";"Value"
"2000-Q1";"N";"T";"LE1";"539652.94968875"
"2000-Q1";"N";"T";"LX";"36866.28928874"
"2000-Q1";"N";"T";"T";"23681.55456203"
"2000-Q1";"N";"T";"K";"13184.73472672"
"2000-Q1";"N";"T";"K7";
"2000-Q1";"N";"T";"K7A";
"2000-Q1";"N";"T";"K7B";
"2000-Q1";"N";"T";"KA";
"2000-Q1";"N";"T";"LE";"576580.38897754"
"2000-Q1";"A";"T";"LE1";"1948554.05258369"
"2000-Q1";"A";"T";"LX";"191422.76587018"
"2000-Q1";"A";"T";"T";
"2000-Q1";"A";"T";"K";
"2000-Q1";"A";"T";"K7";
"2000-Q1";"A";"T";"K7A";
"2000-Q1";"A";"T";"K7B";
"2000-Q1";"A";"T";"KA";
"2000-Q1";"A";"T";"LE";"2139976.81845391"
"2000-Q1";"P";"T";"LE1";"1408901.10289494"
"2000-Q1";"P";"T";"LX";"154556.47658143"
"2000-Q1";"P";"T";"T";
"2000-Q1";"P";"T";"K";
"2000-Q1";"P";"T";"K7";
"2000-Q1";"P";"T";"K7A";
"2000-Q1";"P";"T";"K7B";
"2000-Q1";"P";"T";"KA";
"2000-Q1";"P";"T";"LE";"1563396.42947638"
"2000-Q2";"N";"T";"LE1";"576580.38897754"
"2000-Q2";"N";"T";"LX";"-1627.47416234"
"2000-Q2";"N";"T";"T";"18296.76274364"
"2000-Q2";"N";"T";"K";"-19924.23690597"
"2000-Q2";"N";"T";"K7";
"2000-Q2";"N";"T";"K7A";
"2000-Q2";"N";"T";"K7B";
"2000-Q2";"N";"T";"KA";
"2000-Q2";"N";"T";"LE";"574952.91481516"
"2000-Q2";"A";"T";"LE1";"2139976.81845391"
"2000-Q2";"A";"T";"LX";"-55287.23062689"
"2000-Q2";"A";"T";"T";
"2000-Q2";"A";"T";"K";
"2000-Q2";"A";"T";"K7";
"2000-Q2";"A";"T";"K7A";
"2000-Q2";"A";"T";"K7B";
"2000-Q2";"A";"T";"KA";
"2000-Q2";"A";"T";"LE";"2084689.58782698"
"2000-Q2";"P";"T";"LE1";"1563396.42947638"
"2000-Q2";"P";"T";"LX";"-53659.75646455"
"2000-Q2";"P";"T";"T";
"2000-Q2";"P";"T";"K";
"2000-Q2";"P";"T";"K7";
"2000-Q2";"P";"T";"K7A";
"2000-Q2";"P";"T";"K7B";
"2000-Q2";"P";"T";"KA";
"2000-Q2";"P";"T";"LE";"1509736.67301182"
"2000-Q3";"N";"T";"LE1";"574952.91481516"
"2000-Q3";"N";"T";"LX";"7000.48304246"
"2000-Q3";"N";"T";"T";"6273.5811585"
"2000-Q3";"N";"T";"K";"726.90188396"
"2000-Q3";"N";"T";"K7";
"2000-Q3";"N";"T";"K7A";
"2000-Q3";"N";"T";"K7B";
"2000-Q3";"N";"T";"KA";
"2000-Q3";"N";"T";"LE";"581953.69785662"
"2000-Q3";"A";"T";"LE1";"2084689.58782698"
"2000-Q3";"A";"T";"LX";"122001.8822619"
"2000-Q3";"A";"T";"T";
"2000-Q3";"A";"T";"K";
"2000-Q3";"A";"T";"K7";
