"CubeId";"auvekoma"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"1985";"A";"T0";"533563.9"
"1985";"A";"T1";"57873.2"
"1985";"A";"B0";"42714.4"
"1985";"A";"K0";"15158.8"
"1985";"A";"T2";"200487.7"
"1985";"A";"S0T";"152221.6"
"1985";"A";"STK";"2032"
"1985";"A";"STL";"150189.6"
"1985";"A";"T3";"48266.1"
"1985";"A";"A";"48266.1"
"1985";"A";"K1";"0"
"1985";"A";"D";
"1985";"A";"T4";"225158"
"1985";"A";"T5";"156916"
"1985";"A";"N0";"0"
"1985";"A";"TB1";"142874"
"1985";"A";"FGB";"99094"
"1985";"A";"OH0";"538"
"1985";"A";"US0";"13504"
"1985";"A";"T6";"68187"
"1985";"A";"N1";"0"
"1985";"A";"TB2";"56285"
"1985";"A";"FGK";"56285"
"1985";"A";"OH1";"814"
"1985";"A";"US1";"11088"
"1985";"A";"UA";"55"
"1985";"A";"T7";"50045"
"1985";"A";"G";"11904"
"1985";"A";"RIWF";"1127"
"1985";"A";"S1";"7"
"1985";"A";"T8";"36789"
"1985";"A";"W";"36789"
"1985";"A";"BE";"0"
"1985";"A";"U";"218"
"1985";"P";"T0";"324924.21276081"
"1985";"P";"T1";"36092.1"
"1985";"P";"B0";"29946"
"1985";"P";"K0";"6146.1"
"1985";"P";"T2";"99462"
"1985";"P";"S0T";"11390"
"1985";"P";"STK";"0"
"1985";"P";"STL";"11390"
"1985";"P";"T3";"88072"
"1985";"P";"A";"72376"
"1985";"P";"K1";"15696"
"1985";"P";"D";
"1985";"P";"T4";"189370.11276081"
"1985";"P";"T5";"127629.2884"
"1985";"P";"N0";"4152.2884"
"1985";"P";"TB1";"123477"
"1985";"P";"VGB";"81924"
"1985";"P";"VGK";"41553"
"1985";"P";"OH0";
"1985";"P";"US0";"0"
"1985";"P";"T6";"18479"
"1985";"P";"N1";
"1985";"P";"OH1";"0"
"1985";"P";"US1";"18479"
"1985";"P";"UP";"43261.82436081"
"1985";"N";"T0";"208639.68723919"
"1985";"N";"T1";"21781.1"
"1985";"N";"T2";"101025.7"
"1985";"N";"D";
"1985";"N";"T4";"35787.88723919"
"1985";"N";"T7";"50045"
"1986";"A";"T0";"561977.3"
"1986";"A";"T1";"63726.7"
"1986";"A";"B0";"46031"
"1986";"A";"K0";"17695.7"
"1986";"A";"T2";"219521.1"
"1986";"A";"S0T";"165715"
"1986";"A";"STK";"2447"
"1986";"A";"STL";"163268"
"1986";"A";"T3";"53806.1"
"1986";"A";"A";"53806.1"
"1986";"A";"K1";"0"
"1986";"A";"D";
"1986";"A";"T4";"230563.5"
"1986";"A";"T5";"165424.6"
"1986";"A";"N0";"0"
"1986";"A";"TB1";"151275"
"1986";"A";"FGB";"109037"
"1986";"A";"OH0";"903"
"1986";"A";"US0";"13246.6"
"1986";"A";"T6";"65075.9"
"1986";"A";"N1";"0"
"1986";"A";"TB2";"52978"
"1986";"A";"FGK";"52978"
"1986";"A";"OH1";"819"
"1986";"A";"US1";"11278.9"
"1986";"A";"UA";"63"
"1986";"A";"T7";"48166"
"1986";"A";"G";"11904"
"1986";"A";"RIWF";"740"
"1986";"A";"S1";"0"
"1986";"A";"T8";"35381"
"1986";"A";"W";"35381"
"1986";"A";"BE";"0"
"1986";"A";"U";"141"
"1986";"P";"T0";"370411.82825641"
"1986";"P";"T1";"48351.7"
"1986";"P";"B0";"40851.9"
"1986";"P";"K0";"7499.8"
"1986";"P";"T2";"119938"
"1986";"P";"S0T";"10990"
"1986";"P";"STK";"0"
"1986";"P";"STL";"10990"
"1986";"P";"T3";"108948"
"1986";"P";"A";"89447"
"1986";"P";"K1";"19501"
"1986";"P";"D";
"1986";"P";"T4";"202122.12825641"
"1986";"P";"T5";"136616.5512"
"1986";"P";"N0";"4349.5512"
"1986";"P";"TB1";"132267"
"1986";"P";"VGB";"84440"
"1986";"P";"VGK";"47827"
"1986";"P";"OH0";
"1986";"P";"US0";"0"
"1986";"P";"T6";"21567.1"
"1986";"P";"N1";
"1986";"P";"OH1";"0"
"1986";"P";"US1";"21567.1"
"1986";"P";"UP";"43938.47705641"
"1986";"N";"T0";"191565.47174359"
