"CubeId";"bopovera"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"Value"
"2000";"SD";"34298.949076"
"2001";"SD";"37452.27800514"
"2002";"SD";"27580.09618376"
"2003";"SD";"-8312.36775855"
"2004";"SD";"31640.55240098"
"2005";"SD";"42630.13567967"
"2006";"SD";"25182.02811174"
"2007";"SD";"4800.42947438"
"2008";"SD";"9952.51628258"
"2009";"SD";"-25707.49701231"
"2010";"SD";"31020.73077871"
"2011";"SD";"-3800.86324198"
"2012";"SD";"12915.0770031"
"2013";"SD";"40133.70164566"
"2014";"SD";"8266.86114871"
"2015";"SD";"7263.96769428"
"2016";"SD";"27967.1909042"
"2017";"SD";"-14104.16638556"
"2018";"SD";"37796.03274942"
"2019";"SD";"20715.03209986"
"2020";"SD";"36844.69471157"
"2021";"SD";"26522.61182308"
"2022";"SD";"-22672.42284231"
"2023";"SD";"8547.61128178"
"2024";"SD";"2723.92201785"
